batch_id,model,parameters,processor,category,total_runs,count_failures,count_success,success_rate,R_efficiency,R_exponential,R_linear,R_robust,total_tokens_ave,total_tokens_mean,total_tokens_median,total_tokens_min,total_tokens_max,latency_ave,latency_mean,latency_median,latency_min,latency_max,test_date
codestral_34a5_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,27,3,10.0,2.6111111111111107,2.4211496151882828,3.9999999999999996,5.0,13403.333333333334,13403.333333333334,13441.5,9151,14988,95.99166666666666,95.99166666666666,96.655,48.59,129.67,08.24
codestral_3adb_psg_batch,codestral,P,psg,codestral_psg_P,30,28,2,6.666666666666667,1.3333333333333335,0.9022352215774181,1.333333333333333,2.0,13345.7,13345.7,13346.5,12551,14062,94.94033333333333,94.94033333333333,94.805,74.73,113.13,08.08
codestral_62f3_psg_batch,codestral,P,psg,codestral_psg_P,30,29,1,3.3333333333333335,1.111111111111111,1.2262648039048079,2.0,2.0,13399.166666666666,13399.166666666666,13513.0,7931,14253,70.63533333333334,70.63533333333334,68.495,39.02,126.36,08.09
codestral_9eb0_psg_batch,codestral,NP,psg,codestral_psg_NP,30,25,5,16.666666666666664,7.222222222222221,7.273397342132482,10.0,11.333333333333334,12638.833333333334,12638.833333333334,13490.5,2804,14354,64.759,64.759,68.70500000000001,18.22,83.67,08.14
codestral_9eb0_tpusg_batch,codestral,NP,tpusg,codestral_tpusg_NP,30,20,10,33.33333333333333,14.388888888888888,15.518940826050242,20.666666666666664,24.666666666666664,12379.9,12379.9,13440.5,2920,16582,73.75033333333333,73.75033333333333,69.33,17.02,176.51,08.14
codestral_a277_psg_batch,codestral,NP,psg,codestral_psg_NP,21,4,17,80.95238095238095,45.23809523809524,51.31178847787283,64.76190476190476,75.23809523809524,7230.476190476191,7230.476190476191,5861.0,2606,13716,43.52571428571429,43.52571428571429,40.32,14.67,72.17,08.26
codestral_bcbe_psg_batch,codestral,NP,psg,codestral_psg_NP,21,7,14,66.66666666666666,30.714285714285715,34.83023354571636,46.666666666666664,55.714285714285715,9340.190476190477,9340.190476190477,8722.0,2936,15109,55.03857142857142,55.03857142857142,49.41,20.41,111.69,08.26
codestral_c8f6_tpusg_batch,codestral,NP,tpusg,codestral_tpusg_NP,30,20,10,33.33333333333333,11.5,11.182081358310295,16.666666666666664,20.33333333333333,12911.833333333334,12911.833333333334,13829.5,2927,15565,106.14366666666666,106.14366666666666,111.3,25.13,149.09,07.27
codestral_e6d3_psg_batch,codestral,P,psg,codestral_psg_P,30,24,6,20.0,5.555555555555555,5.42759840978868,9.333333333333332,12.000000000000002,12848.6,12848.6,13502.5,8312,14372,65.536,65.536,67.775,45.73,83.2,08.15
codestral_e6d3_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,22,8,26.666666666666668,7.61111111111111,7.587478427892239,12.666666666666664,15.0,12973.633333333333,12973.633333333333,13611.5,8875,15814,68.777,68.777,71.24000000000001,38.17,105.66,08.15
codestral_fc8d_tpusg_batch,codestral,P,tpusg,codestral_tpusg_P,30,28,2,6.666666666666667,1.9444444444444442,1.9700320043995738,3.3333333333333335,4.0,13466.866666666667,13466.866666666667,13616.5,8722,15568,97.23533333333333,97.23533333333333,96.875,51.47,143.98,08.23
gemma3:27b_04fd_psg_batch,gemma3:27b,NP,psg,gemma3:27b_psg_NP,30,22,8,26.666666666666668,18.055555555555554,18.551399007346493,21.333333333333336,22.666666666666668,12219.866666666667,12219.866666666667,14478.5,2424,15489,113.257,113.257,129.22,19.91,154.32,08.16
gemma3:27b_04fd_tpusg_batch,gemma3:27b,NP,tpusg,gemma3:27b_tpusg_NP,30,28,2,6.666666666666667,1.7777777777777777,1.6773824146935168,2.6666666666666665,2.9999999999999996,15268.133333333333,15268.133333333333,15622.5,9202,16162,148.76366666666667,148.76366666666667,151.95,87.37,183.62,08.16
gemma3:27b_3888_psg_batch,gemma3:27b,P,psg,gemma3:27b_psg_P,30,13,17,56.666666666666664,12.333333333333334,9.424896921644395,15.333333333333332,23.0,12887.5,12887.5,13394.5,10499,13757,96.53966666666666,96.53966666666666,99.435,75.63,108.97,08.13
gemma3:27b_3888_tpusg_batch,gemma3:27b,P,tpusg,gemma3:27b_tpusg_P,30,30,0,0.0,0.0,0.0,0.0,0.0,15261.066666666668,15261.066666666668,15255.5,15156,15439,143.51966666666667,143.51966666666667,142.345,139.66,176.06,08.13
gemma3:27b_85a9_psg_batch,gemma3:27b,NP,psg,gemma3:27b_psg_NP,30,6,24,80.0,42.77777777777778,45.71130448927416,57.99999999999999,65.33333333333334,7677.133333333333,7677.133333333333,7738.5,2402,13863,81.82,81.82,76.68,26.9,155.17,07.30
